keyword,url,position,previousPosition,frequency,region,pageType,bucket,positionWeight,intentMultiplier,score
электрик адыгейск,https://master-na-dom.online/elektrik-adygeysk,7,65,0,Адыгейск,SERVICE_CITY,TOP10,5,1.2,6
мастер на дом кирово-чепецк,https://master-na-dom.online/master-na-chas-kirovo-chepetsk,31,,0,Кирово-Чепецк,SERVICE_CITY,31-50,4,1.2,4.8
мастер на дом саратов,https://master-na-dom.online/master-na-chas-saratov,46,,0,Саратов,SERVICE_CITY,31-50,4,1.2,4.8
мастер по ремонту водонагревателей уфа,https://master-na-dom.online/remont-vodonagrevatelej-ufa,44,,0,Уфа,SERVICE_CITY,31-50,4,1.2,4.8
мастер по ремонту кофемашин чебоксары,https://master-na-dom.online/remont-kofemashin-cheboksary,32,23,0,Чебоксары,SERVICE_CITY,31-50,4,1.2,4.8
мастер по ремонту посудомоечных машин калининград,https://master-na-dom.online/remont-pmm-kaliningrad,35,,0,Калининград,SERVICE_CITY,31-50,4,1.2,4.8
мастер по ремонту посудомоечных машин липецк,https://master-na-dom.online/remont-pmm-lipetsk,37,,0,Липецк,SERVICE_CITY,31-50,4,1.2,4.8
мастер по ремонту телевизоров чебоксары,https://master-na-dom.online/remont-televizorov-cheboksary,49,39,0,Чебоксары,SERVICE_CITY,31-50,4,1.2,4.8
мелкий ремонт на дому сочи,https://master-na-dom.online/master-na-chas-sochi,36,,0,Сочи,SERVICE_CITY,31-50,4,1.2,4.8
ремонт кондиционеров в волгоград на дому,https://master-na-dom.online/remont-kondicionerov-volgograd,50,,0,Волгоград,SERVICE_CITY,31-50,4,1.2,4.8
ремонт кондиционеров кемерово,https://master-na-dom.online/remont-kondicionerov-kemerovo,40,26,0,Кемерово,SERVICE_CITY,31-50,4,1.2,4.8
ремонт кофемашины новочебоксарск на дому,https://master-na-dom.online/remont-kofemashin-novocheboksarsk,49,4,0,Новочебоксарск,SERVICE_CITY,31-50,4,1.2,4.8
ремонт посудомоечных машин в верхняя пышма на дому,https://master-na-dom.online/remont-pmm-verkhnyaya-pyshma,47,,0,Верхняя Пышма,SERVICE_CITY,31-50,4,1.2,4.8
ремонт посудомоечных машин в новочебоксарск на дому,https://master-na-dom.online/remont-pmm-novocheboksarsk,48,20,0,Новочебоксарск,SERVICE_CITY,31-50,4,1.2,4.8
ремонт посудомоечных машин в севастополь на дому,https://master-na-dom.online/remont-pmm-sevastopol,33,30,0,Севастополь,SERVICE_CITY,31-50,4,1.2,4.8
ремонт посудомоечных машин кострома,https://master-na-dom.online/remont-pmm-kostroma,40,29,0,Кострома,SERVICE_CITY,31-50,4,1.2,4.8
ремонт посудомоечных машин михайловск,https://master-na-dom.online/remont-pmm-mikhaylovsk,44,98,0,Михайловск,SERVICE_CITY,31-50,4,1.2,4.8
ремонт посудомойки ставрополь,https://master-na-dom.online/remont-pmm-stavropol,32,,0,Ставрополь,SERVICE_CITY,31-50,4,1.2,4.8
ремонт стиральной машины симферополь недорого,https://master-na-dom.online/remont-stiralnyh-mashin-simferopol,39,29,0,Симферополь,SERVICE_CITY,31-50,4,1.2,4.8
ремонт стиральной машины ульяновск недорого,https://master-na-dom.online/remont-stiralnyh-mashin-ulyanovsk,32,30,0,Ульяновск,SERVICE_CITY,31-50,4,1.2,4.8
ремонт стиральных машин в кострома на дому,https://master-na-dom.online/remont-stiralnyh-mashin-kostroma,44,34,0,Кострома,SERVICE_CITY,31-50,4,1.2,4.8
ремонт стиральных машин светлогорск,https://master-na-dom.online/remont-stiralnyh-mashin-svetlogorsk,31,26,0,Светлогорск,SERVICE_CITY,31-50,4,1.2,4.8
ремонт холодильника калининград недорого,https://master-na-dom.online/remont-holodilnikov-kaliningrad,34,,0,Калининград,SERVICE_CITY,31-50,4,1.2,4.8
ремонт холодильников в астрахань на дому,https://master-na-dom.online/remont-holodilnikov-astrakhan,32,,0,Астрахань,SERVICE_CITY,31-50,4,1.2,4.8
услуги сантехника балахна,https://master-na-dom.online/santehnik-balakhna,43,,0,Балахна,SERVICE_CITY,31-50,4,1.2,4.8
услуги сантехника калининград,https://master-na-dom.online/santehnik-kaliningrad,48,,0,Калининград,SERVICE_CITY,31-50,4,1.2,4.8
частный электрик калининград,https://master-na-dom.online/elektrik-kaliningrad,47,,0,Калининград,SERVICE_CITY,31-50,4,1.2,4.8
частный электрик новокуйбышевск,https://master-na-dom.online/elektrik-novokuybyshevsk,32,25,0,Новокуйбышевск,SERVICE_CITY,31-50,4,1.2,4.8
мастер по ремонту посудомоечных машин оренбург,https://master-na-dom.online/remont-pmm-orenburg,89,,0,Оренбург,SERVICE_CITY,51-100,2,1.2,2.4
ремонт кондиционеров в астрахань на дому,https://master-na-dom.online/remont-kondicionerov-astrakhan,94,,0,Астрахань,SERVICE_CITY,51-100,2,1.2,2.4
ремонт посудомойки берёзовский,https://master-na-dom.online/remont-pmm-beryozovskiy,67,,0,Берёзовский,SERVICE_CITY,51-100,2,1.2,2.4
электрик новоульяновск,https://master-na-dom.online/elektrik-novoulyanovsk,80,74,0,Новоульяновск,SERVICE_CITY,51-100,2,1.2,2.4
ремонт кофемашины зеленоградск на дому,https://master-na-dom.online/remont-kofemashin-zelenogradsk,3,1,0,Зеленоградск,SERVICE_CITY,TOP3,1,1.2,1.2
ремонт посудомоечных машин в зеленоградск на дому,https://master-na-dom.online/remont-pmm-zelenogradsk,3,1,0,Зеленоградск,SERVICE_CITY,TOP3,1,1.2,1.2
